# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
fajita seasoning mix,Spice blends,American blends,Herbs & spices,plant
family sized tea bags,Coffee & tea,Tea,Herbs & spices,plant
farfalle,Refined grains,Pasta,Grains,plant
fat crackers,Bread & baked goods,Crackers,Grains,plant
fat dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
favorite beer,Alcoholic beverages,Beer,Condiments & sauces,plant
favorite burger,Processed meat,Fresh sausage,Protein (animal),animal
favorite cake mix,Prepared mixes,Cake mixes,Sweets,plant
favorite cheese,Aged cheese,Aged cheese,Dairy,dairy
favorite chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
favorite crackers,Bread & baked goods,Crackers,Grains,plant
favorite dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
favorite frosting,Sweets,Confectionery,Sweets,plant
favorite jelly,Jams & preserves,Fruit preserves,Sweets,plant
favorite lettuce,Leafy greens,Lettuce,Vegetables,plant
favorite marinara,Condiments & sauces,Tomato condiments,Condiments & sauces,plant
favorite nuts,Nuts,Tree nuts,Nuts & seeds,plant
favorite pie crust,Bread & baked goods,Pastries,Grains,plant
favorite pie filling,Prepared mixes,Pie fillings,Sweets,plant
favorite pizza,Bread & baked goods,Pizza dough,Grains,plant
favorite pizza dough,Bread & baked goods,Pizza dough,Grains,plant
favorite pizza toppings,Bread & baked goods,Pizza dough,Grains,plant
favorite preserves,Jams & preserves,Fruit preserves,Sweets,plant
favorite salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
favorite seasoning,Spice blends,American blends,Herbs & spices,plant
favorite taco,Bread & baked goods,Tortillas,Grains,plant
favorite vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
favorite vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
fennel fronds,Non-starchy vegetables,Bulbs,Vegetables,plant
fennel powder,Dried spices,Ground spices,Herbs & spices,plant
fennel spice rub,Spice blends,American blends,Herbs & spices,plant
fenugreek,Dried spices,Seed spices,Herbs & spices,plant
fenugreek leaves,Dried spices,Seed spices,Herbs & spices,plant
fenugreek powder,Dried spices,Seed spices,Herbs & spices,plant
fetta cheese,Aged cheese,Aged cheese,Dairy,dairy
fettuccine,Refined grains,Pasta,Grains,plant
fettuccine noodles,Refined grains,Pasta,Grains,plant
fettuccini,Refined grains,Pasta,Grains,plant
fettuccini noodles,Refined grains,Pasta,Grains,plant
fettucine,Refined grains,Pasta,Grains,plant
fettucine noodles,Refined grains,Pasta,Grains,plant
fettucini,Refined grains,Pasta,Grains,plant
fettucini noodles,Refined grains,Pasta,Grains,plant
fideos,Refined grains,Pasta,Grains,plant
fiesta cheese,Aged cheese,Aged cheese,Dairy,dairy
fiesta nacho cheese soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
fifth bourbon,Alcoholic beverages,Whisky,Condiments & sauces,plant
fifth of vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
fifth rum,Alcoholic beverages,Rum,Condiments & sauces,plant
filberts,Nuts,Hazelnut,Nuts & seeds,plant
file powder,Spice blends,American blends,Herbs & spices,plant
filet mignon,Red meat,Beef,Protein (animal),animal
filet mignons,Red meat,Beef,Protein (animal),animal
filets mignons,Red meat,Beef,Protein (animal),animal
fillet steak,Red meat,Beef,Protein (animal),animal
fillo shells,Refined grains,Pasta,Grains,plant
filo,Bread & baked goods,Pastries,Grains,plant
filo dough,Bread & baked goods,Pastries,Grains,plant
fine breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
fine cracker crumb,Bread & baked goods,Crackers,Grains,plant
fine cracker crumbs,Bread & baked goods,Crackers,Grains,plant
fine dry breadcrumb,Bread & baked goods,Bread crumbs,Grains,plant
fine grain sea salt,Salt & seasonings,Salt,Herbs & spices,plant
fine spaghetti,Refined grains,Pasta,Grains,plant
fine-grain sea salt,Salt & seasonings,Salt,Herbs & spices,plant
fines herbes,Spice blends,European blends,Herbs & spices,plant
finger cookies,Sweets,Confectionery,Sweets,plant
finger rolls,Bread & baked goods,Bread,Grains,plant
fino sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
fire oil,Oils,Vegetable oils,Fats & oils,plant
firm cheese,Aged cheese,Aged cheese,Dairy,dairy
firm margarine,Margarine & shortening,Margarine,Fats & oils,plant
firm white fish,White fish,Saltwater white fish,Protein (animal),animal
fish broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
fish cake,Prepared mixes,Cake mixes,Sweets,plant
fish fillet,White fish,Saltwater white fish,Protein (animal),animal
fish fillets,White fish,Saltwater white fish,Protein (animal),animal
fish oil,Oils,Vegetable oils,Fats & oils,plant
fish seasoning,Spice blends,American blends,Herbs & spices,plant
fish steaks,Red meat,Beef,Protein (animal),animal
fish stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,animal
five spice pwdr,Spice blends,American blends,Herbs & spices,plant
five-spice chinese,Spice blends,Chinese blends,Herbs & spices,plant
five-spice seasoning,Spice blends,American blends,Herbs & spices,plant
flake salt,Salt & seasonings,Salt,Herbs & spices,plant
flaked crabmeat,Shellfish,Crab,Protein (animal),animal
flakey biscuits,Bread & baked goods,Biscuits,Grains,plant
flakey sea salt,Salt & seasonings,Salt,Herbs & spices,plant
flaky biscuits,Bread & baked goods,Biscuits,Grains,plant
flaky pastry,Bread & baked goods,Pastries,Grains,plant
flaky pie crust,Bread & baked goods,Pastries,Grains,plant
flaky salt,Salt & seasonings,Salt,Herbs & spices,plant
flaky sea salt,Salt & seasonings,Salt,Herbs & spices,plant
flank,Red meat,Beef,Protein (animal),animal
flat beer,Alcoholic beverages,Beer,Condiments & sauces,plant
flat iron steak,Red meat,Beef,Protein (animal),animal
flat iron steaks,Red meat,Beef,Protein (animal),animal
flat-leaf,Fresh herbs,Soft herbs,Herbs & spices,plant
flatbread,Bread & baked goods,Flatbread,Grains,plant
flatbreads,Bread & baked goods,Flatbread,Grains,plant
flavor jello,Prepared mixes,Gelatins,Sweets,plant
flavored cheese,Aged cheese,Aged cheese,Dairy,dairy
flavored jello,Prepared mixes,Gelatins,Sweets,plant
flavored oil,Oils,Vegetable oils,Fats & oils,plant
flavored vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
flavoring,Extracts & essences,Extracts,Herbs & spices,plant
flavoring of choice,Extracts & essences,Extracts,Herbs & spices,plant
flavoring oil,Extracts & essences,Extracts,Herbs & spices,plant
flavorings,Extracts & essences,Extracts,Herbs & spices,plant
flavorless oil,Oils,Vegetable oils,Fats & oils,plant
flax oil,Oils,Vegetable oils,Fats & oils,plant
flaxseed,Seeds,Flax,Nuts & seeds,plant
flaxseed oil,Oils,Vegetable oils,Fats & oils,plant
flaxseeds,Seeds,Flax,Nuts & seeds,plant
flemish cheese,Aged cheese,Aged cheese,Dairy,dairy
fleur de sel,Salt & seasonings,Salt,Herbs & spices,plant
floured tortillas,Bread & baked goods,Pastries,Grains,plant
fluffy white frosting,Sweets,Confectionery,Sweets,plant
fluffy white frosting mix,Sweets,Confectionery,Sweets,plant
fluid bourbon,Alcoholic beverages,Whisky,Condiments & sauces,plant
fluid espresso,Coffee & tea,Coffee,Herbs & spices,plant
fluid gin,Alcoholic beverages,Gin,Condiments & sauces,plant
fluid grenadine,Alcoholic beverages,Cocktail mixers,Condiments & sauces,plant
fluid kahlua,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
fluid ounces brandy,Alcoholic beverages,Brandy,Condiments & sauces,plant
fluid ounces champagne,Alcoholic beverages,Wine,Condiments & sauces,plant
fluid ounces club soda,Soft drinks,Soft drinks,Sweets,plant
fluid ounces coffee,Coffee & tea,Coffee,Herbs & spices,plant
fluid ounces gin,Alcoholic beverages,Gin,Condiments & sauces,plant
fluid ounces rum,Alcoholic beverages,Rum,Condiments & sauces,plant
fluid ounces rye whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
fluid ounces vanilla-flavored vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
fluid ounces vegetable oil,Oils,Vegetable oils,Fats & oils,plant
fluid ounces vegetable stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
fluid ounces vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
fluid ounces whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
fluid ounces white rum,Alcoholic beverages,Rum,Condiments & sauces,plant
fluid ounces white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
fluid simple syrup,Sweets,Syrup,Sweets,plant
fluid soda water,Soft drinks,Soft drinks,Sweets,plant
fluid sparkling water,Soft drinks,Soft drinks,Sweets,plant
fluid tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
fluid vanilla vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
fluid vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
fluid whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
fluid white rum,Alcoholic beverages,Rum,Condiments & sauces,plant
focaccia,Bread & baked goods,Bread,Grains,plant
focaccia rolls,Bread & baked goods,Bread,Grains,plant
fontinella cheese,Aged cheese,Aged cheese,Dairy,dairy
food color,Extracts & essences,Food coloring,Herbs & spices,plant
food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
food coloring green,Extracts & essences,Food coloring,Herbs & spices,plant
food coloring red,Extracts & essences,Food coloring,Herbs & spices,plant
four cheese,Aged cheese,Aged cheese,Dairy,dairy
four cheese blend,Aged cheese,Aged cheese,Dairy,dairy
fragrance oil,Oils,Vegetable oils,Fats & oils,plant
framboise,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
framboise eau-,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
framboise liqueur,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
frangelico,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
frangelico liqueur,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
frankfurter,Processed meat,Sausage,Protein (animal),animal
frankfurter rolls,Bread & baked goods,Bread,Grains,plant
frankfurters,Processed meat,Sausage,Protein (animal),animal
free cheese,Aged cheese,Aged cheese,Dairy,dairy
french breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
french dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
french fries,Starchy vegetables,Potato,Vegetables,plant
french rolls,Bread & baked goods,Bread,Grains,plant
french salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
french vanilla non-dairy coffee creamer,Coffee & tea,Coffee,Herbs & spices,plant
french vanilla pudding,Prepared mixes,Puddings,Sweets,plant
french vanilla pudding mix,Prepared mixes,Puddings,Sweets,plant
fresco cheese,Aged cheese,Aged cheese,Dairy,dairy
fresh anaheim chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh berries,Berries,Berries,Fruits,plant
fresh black-eyed,Legumes,Beans,Protein (plant),plant
fresh breadcrumb,Bread & baked goods,Bread crumbs,Grains,plant
fresh breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
fresh breadcrumbs made,Bread & baked goods,Bread crumbs,Grains,plant
fresh brewed coffee,Coffee & tea,Coffee,Herbs & spices,plant
fresh brisket,Red meat,Beef,Protein (animal),animal
fresh calamari,Shellfish,Cephalopods,Protein (animal),animal
fresh cauliflowerets,Cruciferous vegetables,Cauliflower,Vegetables,plant
fresh chanterelles,Non-starchy vegetables,Mushrooms,Vegetables,plant
fresh cheese,Aged cheese,Aged cheese,Dairy,dairy
fresh cheese curds,Aged cheese,Aged cheese,Dairy,dairy
fresh cheese ravioli,Refined grains,Pasta,Grains,plant
fresh cheese tortellini,Refined grains,Pasta,Grains,plant
fresh chervil,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh chevre,Fresh cheese,Fresh cheese,Dairy,dairy
fresh chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh chilli,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh chillies,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh chinese noodles,Refined grains,Noodles,Grains,plant
fresh clementine juice,Fruits,Citrus,Fruits,plant
fresh coarse breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
fresh coriander chopped,Dried spices,Seed spices,Herbs & spices,plant
fresh coriander leaf,Dried spices,Seed spices,Herbs & spices,plant
fresh coriander leaves,Dried spices,Seed spices,Herbs & spices,plant
fresh coriander sprig,Dried spices,Seed spices,Herbs & spices,plant
fresh coriander sprigs,Dried spices,Seed spices,Herbs & spices,plant
fresh crabmeat,Shellfish,Crab,Protein (animal),animal
fresh curds,Legumes,Soy,Protein (plant),plant
fresh fennel,Non-starchy vegetables,Bulbs,Vegetables,plant
fresh fettuccine,Refined grains,Pasta,Grains,plant
fresh fettucine,Refined grains,Pasta,Grains,plant
fresh flat-leaf,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh green chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh green peas,Legumes,Peas,Protein (plant),plant
fresh ground chuck,Red meat,Beef,Protein (animal),animal
fresh ground salt,Salt & seasonings,Salt,Herbs & spices,plant
fresh ground sea salt,Salt & seasonings,Salt,Herbs & spices,plant
fresh herb sprigs,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh hot green chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh huckleberries,Berries,Berries,Fruits,plant
fresh jalapeno,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh jalapenos,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh kielbasa,Processed meat,Sausage,Protein (animal),animal
fresh lasagna noodles,Refined grains,Pasta,Grains,plant
fresh lasagna sheets,Refined grains,Pasta,Grains,plant
fresh lavender,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh lavender blossoms,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh lavender flowers,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh lavender leaves,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh lemonade,Juices,Fruit juices,Fruits,plant
fresh lettuce,Leafy greens,Lettuce,Vegetables,plant
fresh linguine,Refined grains,Pasta,Grains,plant
fresh linguini,Refined grains,Pasta,Grains,plant
fresh lump crabmeat,Shellfish,Crab,Protein (animal),animal
fresh morels,Non-starchy vegetables,Mushrooms,Vegetables,plant
fresh pea pods,Legumes,Peas,Protein (plant),plant
fresh peas,Legumes,Peas,Protein (plant),plant
fresh peppermint,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh pizza dough,Bread & baked goods,Pizza dough,Grains,plant
fresh prawns,Shellfish,Shrimp,Protein (animal),animal
fresh ravioli,Refined grains,Pasta,Grains,plant
fresh red chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh red chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh red chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh red chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh red chilli,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh red chillies,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh red thai chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh red thai chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh rhubarb,Non-starchy vegetables,Stalks,Vegetables,plant
fresh rhubarb stalks,Non-starchy vegetables,Stalks,Vegetables,plant
fresh rocket,Leafy greens,Arugula,Vegetables,plant
fresh romano cheese,Aged cheese,Hard grating cheese,Dairy,dairy
fresh salad greens,Leafy greens,Lettuce,Vegetables,plant
fresh savory,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh seaweed,Non-starchy vegetables,Sea vegetables,Vegetables,plant
fresh serrano,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh serrano chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh shiitake,Non-starchy vegetables,Mushrooms,Vegetables,plant
fresh shiitakes,Non-starchy vegetables,Mushrooms,Vegetables,plant
fresh snow,Legumes,Peas,Protein (plant),plant
fresh soft breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
fresh sourdough breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
fresh spaghetti,Refined grains,Pasta,Grains,plant
fresh spearmint,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh sprigs,Fresh herbs,Soft herbs,Herbs & spices,plant
fresh sweet peas,Legumes,Peas,Protein (plant),plant
fresh thai bird chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh thai chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh thai chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
fresh tortellini,Refined grains,Pasta,Grains,plant
fresh tortillas,Bread & baked goods,Pastries,Grains,plant
fresh white breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
fresh white fish,White fish,Saltwater white fish,Protein (animal),animal
freshly brewed coffee,Coffee & tea,Coffee,Herbs & spices,plant
freshly brewed espresso,Coffee & tea,Coffee,Herbs & spices,plant
freshly brewed hot coffee,Coffee & tea,Coffee,Herbs & spices,plant
freshly brewed strong coffee,Coffee & tea,Coffee,Herbs & spices,plant
freshly brewed tea,Coffee & tea,Tea,Herbs & spices,plant
freshly cracked black,Dried spices,Whole spices,Herbs & spices,plant
freshly cracked black peppercorns,Dried spices,Whole spices,Herbs & spices,plant
freshly grated gruyere,Aged cheese,Swiss,Dairy,dairy
freshly grated gruyere cheese,Aged cheese,Swiss,Dairy,dairy
freshly grated parmigiano,Aged cheese,Parmesan,Dairy,dairy
freshly grated parmigiano reggiano,Aged cheese,Parmesan,Dairy,dairy
freshly grated parmigiano reggiano cheese,Aged cheese,Aged cheese,Dairy,dairy
freshly grated parmigiano-reggiano,Aged cheese,Parmesan,Dairy,dairy
freshly grated parmigiano-reggiano cheese,Aged cheese,Aged cheese,Dairy,dairy
freshly grated pecorino,Aged cheese,Hard grating cheese,Dairy,dairy
freshly grated pecorino cheese,Aged cheese,Hard grating cheese,Dairy,dairy
freshly grated romano,Processed cheese,Shredded cheese,Dairy,dairy
